"YEAR","species","route","scenario","quantity","green_tons_total","total_se_percent","green_tons_per_acre","per_acre_se_percent","nonreserved_acres","area_se_percent","live_trees_per_acre","tpa_se_percent","species_plots","area_plots","notes","positive_mass_plots","tree_records","coverage","allocation","green_ratio_used"
2019,"Douglas-fir","A","reach","boughs",169527.071700549,13.930062659967,0.337248930932077,13.1906532679898,502676.379824292,4.93031355867081,93.4648883649499,8.28354401438841,231,265,"Material quantities; see coverage and README assumptions",105,3059,"Rogue River portion of the Rogue River-Siskiyou National Forest (administrative forest code 610)","cone",2.42
2019,"Douglas-fir","A","reach","foliage_only",53428.2352597052,13.9417261788816,0.106287538870199,13.2008014060373,502676.379824292,4.93031355867081,93.4648883649499,8.28354401438841,231,265,"Material quantities; see coverage and README assumptions",105,3059,"Rogue River portion of the Rogue River-Siskiyou National Forest (administrative forest code 610)","cone",2.42
2019,"Douglas-fir","A","rule","boughs",401678.858197938,10.9844450768373,0.799080430909333,10.0974860563739,502676.379824292,4.93031355867081,93.4648883649499,8.28354401438841,231,265,"Material quantities; see coverage and README assumptions",140,3059,"Rogue River portion of the Rogue River-Siskiyou National Forest (administrative forest code 610)","cone",2.42
2019,"Douglas-fir","A","rule","foliage_only",106619.243139715,11.1129256727447,0.212103149101581,10.2199919021106,502676.379824292,4.93031355867081,93.4648883649499,8.28354401438841,231,265,"Material quantities; see coverage and README assumptions",140,3059,"Rogue River portion of the Rogue River-Siskiyou National Forest (administrative forest code 610)","cone",2.42
2019,"Incense-cedar","A","reach","boughs",19826.7093881771,34.2997341880935,0.039442293658412,33.9367825373904,502676.379824292,4.93031355867081,8.43038799261105,19.7911840164095,81,265,"Material quantities; see coverage and README assumptions",23,278,"Rogue River portion of the Rogue River-Siskiyou National Forest (administrative forest code 610)","cone",2.42
2019,"Incense-cedar","A","reach","foliage_only",6369.61106771981,35.0361061018645,0.0126713952025084,34.6814580490512,502676.379824292,4.93031355867081,8.43038799261105,19.7911840164095,81,265,"Material quantities; see coverage and README assumptions",23,278,"Rogue River portion of the Rogue River-Siskiyou National Forest (administrative forest code 610)","cone",2.42
2019,"Incense-cedar","A","rule","boughs",24052.3983743201,29.9681078501907,0.0478486742956323,29.5553960847253,502676.379824292,4.93031355867081,8.43038799261105,19.7911840164095,81,265,"Material quantities; see coverage and README assumptions",27,278,"Rogue River portion of the Rogue River-Siskiyou National Forest (administrative forest code 610)","cone",2.42
2019,"Incense-cedar","A","rule","foliage_only",7842.39152616458,30.2008254195169,0.0156012731867486,29.791889392106,502676.379824292,4.93031355867081,8.43038799261105,19.7911840164095,81,265,"Material quantities; see coverage and README assumptions",27,278,"Rogue River portion of the Rogue River-Siskiyou National Forest (administrative forest code 610)","cone",2.42
2019,"Ponderosa pine","A","reach","boughs",34469.9385312584,33.5656839555332,0.0685728232213879,33.3103631322841,502676.379824292,4.93031355867081,14.3695822134631,20.5135022657949,83,265,"Material quantities; see coverage and README assumptions",23,461,"Rogue River portion of the Rogue River-Siskiyou National Forest (administrative forest code 610)","cone",2.42
2019,"Ponderosa pine","A","reach","foliage_only",9389.65745592352,33.6646256551751,0.0186793289535618,33.4040855040965,502676.379824292,4.93031355867081,14.3695822134631,20.5135022657949,83,265,"Material quantities; see coverage and README assumptions",23,461,"Rogue River portion of the Rogue River-Siskiyou National Forest (administrative forest code 610)","cone",2.42
2019,"Ponderosa pine","A","rule","boughs",50537.8272438956,30.1961386510685,0.10053750140709,29.8880953503172,502676.379824292,4.93031355867081,14.3695822134631,20.5135022657949,83,265,"Material quantities; see coverage and README assumptions",26,461,"Rogue River portion of the Rogue River-Siskiyou National Forest (administrative forest code 610)","cone",2.42
